subject_id,birthdate,num_lang
00270001,2022-08-01,1
00680001,2021-12-01,2
00820001,2021-09-01,2
00560001,2022-03-01,2
00400001,2022-08-01,1
00720001,2022-01-01,1
00430001,2022-08-01,1
00500001,2022-08-01,3
00830001,2022-01-01,2
00550001,2022-08-01,1
00400002,2022-11-01,1
00230001,2023-05-01,1
00440001,2023-01-01,1?
00400003,2023-01-01,2
00320001,2023-01-01,3
00340001,2023-02-01,1
00240001,2023-04-01,2
00350001,2023-02-01,1?
00490001,2022-12-01,1
00410001,2023-02-01,1
00370001,2023-03-01,1
00370002,2023-05-01,1
00220001,2023-09-01,1
00320002,2023-07-01,1
00320003,2023-07-01,3
00460001,2023-03-01,1
00510001,2023-03-01,1
00420001,2023-06-01,3
00590001,2023-04-01,2
00370003,2023-09-01,2
00430002,2023-07-01,2
00510002,2023-06-01,1
01010001,2022-08-01,1
00360001,2023-11-01,1
00390001,2023-11-01,4
00340002,2023-12-01,1
00390002,2023-11-01,1
00350002,2024-03-01,1
00270002,2024-06-01,2
00300001,2024-05-01,1
00380001,2024-02-01,2
